"","country","year","rank","ladder_score","GDP","social_support","life_expectancy","freedom","generosity","corruption","region"
"1","Albania",2019,71,4.995,9.544,0.686,69,0.777,-0.099,0.914,"Central and Eastern Europe"
"2","Argentina",2019,39,6.086,10,0.896,69,0.817,-0.211,0.83,"Latin America and Caribbean"
"3","Australia",2019,9,7.234,10.815,0.943,73.9,0.918,0.121,0.43,"North America and ANZ"
"4","Austria",2019,11,7.195,10.939,0.964,73.3,0.903,0.06,0.457,"Western Europe"
"5","Bangladesh",2019,63,5.114,8.467,0.673,64.8,0.902,-0.051,0.656,"South Asia"
"6","Belgium",2019,16,6.772,10.853,0.884,72.2,0.776,-0.172,0.672,"Western Europe"
"7","Benin",2019,72,4.976,8.098,0.442,54.7,0.77,-0.016,0.698,"Sub-Saharan Africa"
"8","Bolivia",2019,54,5.674,9.074,0.784,63.9,0.881,-0.086,0.857,"Latin America and Caribbean"
"9","Bosnia and Herzegovina",2019,43,6.016,9.609,0.873,68.1,0.722,0.079,0.963,"Central and Eastern Europe"
"10","Brazil",2019,26,6.451,9.592,0.899,66.6,0.83,-0.062,0.762,"Latin America and Caribbean"
"11","Bulgaria",2019,64,5.108,10.047,0.948,67,0.822,-0.109,0.943,"Central and Eastern Europe"
"12","Cambodia",2019,70,4.998,8.387,0.759,62,0.957,0.013,0.828,"Southeast Asia"
"13","Cameroon",2019,75,4.937,8.203,0.711,53.5,0.712,-0.008,0.817,"Sub-Saharan Africa"
"14","Canada",2019,13,7.109,10.8,0.925,73.8,0.912,0.112,0.436,"North America and ANZ"
"15","Chile",2019,48,5.942,10.095,0.869,70,0.659,-0.103,0.86,"Latin America and Caribbean"
"16","China",2019,62,5.144,9.688,0.822,69.6,0.927,-0.173,NA,"East Asia"
"17","Colombia",2019,30,6.35,9.598,0.873,68,0.822,-0.172,0.854,"Latin America and Caribbean"
"18","Croatia",2019,55,5.626,10.258,0.936,70.8,0.739,-0.137,0.932,"Central and Eastern Europe"
"19","Cyprus",2019,37,6.137,10.585,0.776,73.9,0.74,-0.008,0.865,"Western Europe"
"20","Denmark",2019,3,7.693,10.954,0.958,72.7,0.963,0.02,0.174,"Western Europe"
"21","Dominican Republic",2019,44,6.004,9.821,0.884,66.1,0.877,-0.123,0.746,"Latin America and Caribbean"
"22","Ecuador",2019,51,5.809,9.339,0.808,68.8,0.83,-0.115,0.839,"Latin America and Caribbean"
"23","Egypt",2019,84,4.328,9.373,0.772,62,0.774,-0.199,NA,"Middle East and North Africa"
"24","El Salvador",2019,25,6.455,9.08,0.764,66.4,0.877,-0.109,0.682,"Latin America and Caribbean"
